Part,NCode,Branch,DateTime,Type,OP,Description
487105,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487107,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,EVO-STIK 613 is a general purpose&#44 contact adhesive particularly suitable for bonding plastic laminates and other rigid plastics (excluding polyethylene & polypropylene) on particleboard&#44 MDF&#44 woods&#44 metals and all types of board with the exception of bituminous materials.<br/>EVO-STIK 613 may also be used to bond boards of insulating and cane fibre&#44 rigid polyurethane foam&#44 laminated panels and acoustic tiles to suspended and vertical surfaces such as flat surfaces ceilings or walls. Most types of rigid plastics nosings and coverings may also be bonded. EVO-STIK 613 is intended for interior use. It is not suitable for use with expanded polystyrene foam is also unsuitable for use where only point contact is obtainable between surfaces to be bonded.
487107,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,EVO-STIK 613 is a Toluene free solvented contact adhesive exhibiting high initial grab. It can be easily applied by brush or spreader; the resultant bonds give excellent bond strength&#44 high shear strength and good temperature resistance
487107,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487109,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Decorative laminates&#44 rigid PVC&#44 wood&#44 chipboard&#44 hardboard&#44 cork&#44 leather&#44 rubber&#44 stone&#44 metal&#44 dense film fabrics&#44 ceramics&#44 glass (Not suitable for use on polystyrene or cellulose painted surfaces)
487109,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Non-drip&#44 non-stringing formula<br/>Allows slight adjustment of small areas<br/>Ideal for vertical and overhead surfaces<br/>High strength permanent bond<br/>
487109,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487110,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,It has a long ‘working time’ with parts positionable for around 80 minutes&#44 so is ideal for projects and complicated heavy-duty work on metals&#44 wood&#44 masonry&#44 ceramics&#44 glass&#44 dry concrete&#44 chipboard&#44 leather&#44 card&#44 fabrics&#44 rubber and many plastics<br/><br/>Bonds metal&#44 wood&#44 masonry&#44 ceramics&#44 glass&#44 dry concrete&#44 chipboard&#44 leather&#44 cardboard&#44 fabric&#44 rubber and most plastics (except polyethylene&#44 polypropylene&#44 Teflon®).
487110,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,<br/>strong&#44 solvent-free adhesive suitable for all materials&#44 <br/>ideal for durable bonding and repairs. <br/><br/>Perfect for complicated jobs which require<br/>adjustment thanks to a long working time.
487110,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487110,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,It achieves a full ultra-strong bond in around 14 hours and when used in line with the instructions<br/>printed on the pack will give you dependable&#44 long-lasting results<br/><br/>2-component epoxy with long working time. Parts repositionable for 80 minutes. Oil&#44 chemical and impact resistant. High temperature resistance (-30°C to 80°C). Withstands rough handling. Do not use to repair or bond items that will contact food or drink
487120,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1 Litre Tin c/w Spatula
487120,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487120,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Non drip contact adhesive has been developed for the specific aim of making simple the bonding of laminated plastics to wood and other substrates&#44 whilst maintaining the well proven efficiency of ordinary contact adhesive.<br/>For bonding laminated plastics to wood&#44 hardboard&#44 chipboard&#44 etc.
487136L,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,D411 Heavy Duty Spray Adhesive has been formulated to give strong adhesion on a wide range of materials&#44 such as rigid foam&#44 metals&#44 plastics&#44 rubber&#44 wood&#44 textiles&#44 ceramics&#44 plaster and many more substrates. It is not suitable for use with plasticised PVC or expanded polystyrene.It is particularly suited for use in general engineering fabrication&#44 automotive&#44 building&#44 furniture&#44 laminating&#44 insulation and floor covering industries.
487136L,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Fast drying&#44 CFC free&#44 heavy duty and hi tack
487136L,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Ensure the surfaces are clean and dry.For a strong bond spray a number of light coats onto both surfaces from approximately 15-20 centimetres. For a lighter bond apply to one surface only. Allow 2-3 minutes for the solvents to evaporate&#44 then press surfaces together firmly&#44 working outwards to achieve good surface contact
487136L,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,D411 Heavy Duty Spray Adhesive is a high tack aerosol adhesive which does not contain CFC’s and bonds a wide variety of materials giving a rapid and strong bonding formation and is economical in use.
487136L,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487136L,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Straw coloured synthetic rubber/resin adhesive. Application temp +5°C to +40°C&#44 drying time 2-5 mins. CFC free.
487169,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,seam sealing&#44 bonding metals&#44 fibreglass&#44 rubber and most plastics.<br/>Vibration and sound-damping properties.
487169,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,A professional Car Body Seam Sealer providing a high strength&#44 flexible adhesive suitable for all classic&#44 kit and modern cars&#44 trucks and vans.
487169,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487169,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Environmentally friendly.<br/>Fast drying. <br/>Can be painted over.<br/>When cured may be sanded. <br/>Free of isocyanates and solvents.<br/>
487437,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,8in x 6in (210mmx150mm) Unbreakable Yellow Mirror Head
487437,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487437,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Polcarbonate unbreakable lens providing security & safety for drivers.<br/>Tough lexible body&#44 aerodynamically styled to reduce vibration & movement when vehicle is in motion.<br/>Meets EEC 71/127 regulations Class III & can be fiited to all commercial vehicles.<br/>Suitable for a wide variety of climates & temperatures from -40°C to +80°C
487502,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
487502,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bracket for S1500 Series Mirror Arms
487502,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487502,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Overall Dimensions 148 x 60mm
487506,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
487506,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bracket for Mirror Arms
487506,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487506,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,4 Hole
487526,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
487526,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Nylon Plastic Mirror mounting Block
487526,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487526,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,2 Hole
487535,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
487535,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,361 x 258mm  Manually Operated
487535,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487539,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
487539,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Mirror Arm for Bus & Coach
487539,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487539,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Overall Dimensions 480 x 265mm
487549,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
487549,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,828 x 716mm Manually Operated
487549,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487552,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
487552,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,550 x 213mm Manually Operated
487552,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487553,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
487553,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,The arms adjust at 72 degree increments but can be micro adjusted by means of Ashtree's unique system. Two screws are mounted in the main body of the arm&#44 by loosening one&#44 and then tightening the other&#44 the arm can be set to the exact position required. There is also a screw set in the body that allows the arms to be locked into position to help prevent theft
487553,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,The S1500 range of arms use parallel 28mm steel tubes to provide greater stability on the longer mirror arms widely used these days.
487553,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487553,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,28mm Diameter arms
487728,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
487728,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,330 x 226mm Manually Operated
487728,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487755,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
487755,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,664 x 195mm Manually Operated
487755,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487757,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
487757,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,The diecast indexing bracket indexes at 22.5 degrees&#44 having 16 different positions in a full 360 degree circle.
487757,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,The S1300 range of mirror arms use 19mm diamter tube and were originally designed with buses in mind.
487757,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487757,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,They mount onto vehicles on a tapered slide and fit onto part numbers Y2670-3 or Y2670-4. These&#44 3 and 4 hole&#44 wedges have hole configurations which are the same as other popular models on the market.
487762,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bus & Coach
487762,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,The diecast indexing bracket indexes at 22.5 degrees&#44 having 16 different positions in a full 360 degree circle.
487762,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,The S1300 range of mirror arms use 19mm diamter tube and were originally designed with buses in mind.
487762,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
487762,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,They mount onto vehicles on a tapered slide and fit onto part numbers Y2670-3 or Y2670-4. These&#44 3 and 4 hole&#44 wedges have hole configurations which are the same as other popular models on the market.
488005,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,13A Rubber domestic 3 pin white plugs
488005,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
488006,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,fitted over adjacent wheel nuts
488006,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,30mm
488006,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,They are fitted over the nuts and locked by hand or with a pair of pliers
488006,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Right Hand Ric Clips
488006,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,8
488006,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,to stop nut rotation in service and to damp out any vibration frequency in the nut/stud. When fitted&#44 any attempted loosening rotation of the wheel nuts actually increases the locking action
488007,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,To cover a wide scope of applications throughout industrial&#44 agricultural&#44 military&#44 rail & commercial vehicle sectors amongst others.
488007,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,To stop nut rotation in service & to damp out any vibration frequency in the nut / stud
488007,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
488008,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,To cover a wide scope of applications throughout industrial&#44 agricultural&#44 military&#44 rail & commercial vehicle sectors amongst others.
488008,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,To stop nut rotation in service & to damp out any vibration frequency in the nut / stud
488008,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
488016,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,13amp 2 gang Rubber Twin Trailing Socket
488016,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
488052,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,For use indoors in all industries
488052,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Semi-enclosed case for ease of winding                         Thermal cut out protection                                    Upright when in use             Built-in cable guide              4 sockets                                   Reset Button
488052,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
488076,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,used to drive bolts and screws that have a hexagonal socket in the head
488076,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,hex wrench short arm
488076,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10mm Hex Key
488076,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
488076,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,metric thread
488205,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Seals joints in exhaust systems and lubricates joints during fitting
488205,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Hylomar exhaust assembly pastes and putties are formulated in accordance with<br/>the latest health and environmental legislation and are able to withstand temperatures of up to 1100ºC
488205,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,6
488206,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Seals joints in exhaust systems and lubricates joints during fitting
488206,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Hylomar exhaust assembly pastes and putties are formulated in accordance with<br/>the latest health and environmental legislation and are able to withstand temperatures of up to 1100ºC
488206,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
488209,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Specially formulated to fill small holes and cracks in exhaust systems thus delaying the need for replacement.
488209,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Hylomar exhaust assembly pastes and putties are formulated in accordance with<br/>the latest health and environmental legislation and are able to withstand temperatures of up to 1100ºC
488209,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
488210,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Specially formulated to fill small holes and cracks in exhaust systems thus delaying the need for replacement.
488210,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Hylomar exhaust assembly pastes and putties are formulated in accordance with<br/>the latest health and environmental legislation and are able to withstand temperatures of up to 1100ºC
488210,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,6
488215,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,150gm Tube
488215,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
488215,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Fast&#44 easy to use exhaust assembly.<br/>Creates a gas tight seal.<br/>Resists heat and vibration.<br/>
488218,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,It can be used to seal threaded connections as well as flat- faced joints and can be used with or without a gasket&#44 depending upon the design of the assembly
488218,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Stag Wellseal Jointing Compound is highly resistant to the majority of commonly used field&#44 lubricants and coolants and is non-corrosive and free from abrasive fillers.<br/>
488218,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Stag Wellseal jointing compound is non-flammable&#44 has easy partability and is non-hardening it is formulated to give the best possible sealing performance under a wide variety of conditions
488218,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
488418,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Variety of applications including DIY and carpentry
488418,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,zinc
488418,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,screw that can tap its own hole as it is driven into the material
488418,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,4.2 x 19 Self Tapper
488418,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1000
488418,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,pozi flange&#44 BS4174
488420,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Variety of applications including DIY and carpentry
488420,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,zinc/clear
488420,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,screw that can tap its own hole as it is driven into the material
488420,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,4.8 x 16 Self Tapper
488420,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,200
488420,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,type AB&#44
488440,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Variety of applications including DIY and carpentry
488440,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,black
488440,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,screw that can tap its own hole as it is driven into the material
488440,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,4.2 x 19 Self Tapper
488440,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1000
488440,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,pozi flange
488710,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Used for truck floors
488710,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,bzp
488710,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,screw that can tap its own hole as it is driven into the material
488710,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,14 x 1.3/4 Blunt End Self Tapping Screw
488710,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
488710,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,pozi csk&#44 type B
488730,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Variety of applications including DIY and carpentry
488730,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,zinc
488730,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,screw that can tap its own hole as it is driven into the material
488730,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,6.3 x 38 Self Tapper
488730,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
488730,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,hex head
488740,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,s/col
488740,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,6 x 40 Taptite Screw
488740,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,200
488740,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,pozi csk
488747,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,s/col
488747,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,6 x 25 Taptite Screws
488747,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,500
488747,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,pozi csk
488749,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,M6 x 40mm Csk Taptite Screws Zinc & Clear
488749,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,200
488749,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Complies to DIN7500M
488750,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1/4UNC x 1inCsk Taptite Screws Zinc & Clear
488750,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,200
488750,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Unified Thread Form
488754,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1/4UNC x 1.1.2in Csk Taptite Screws Zinc & Clear
488754,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,200
488754,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Unified Thread Form
500324,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Used mainly for fastening timber to timber and is extensively used for timber joist construction in house building and numerous decking applications.
500324,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,material - mild steel&#44 finish - zinc/clear
500324,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,M6 x 40 Cup Square Hex
500324,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,200
500324,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,metric thread&#44 DIN603
500326,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Used mainly for fastening timber to timber and is extensively used for timber joist construction in house building and numerous decking applications.
500326,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,zinc
500326,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,M6 x 50 Cup Square Hex
500326,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,200
500326,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,DIN603
500329,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Used mainly for fastening timber to timber and is extensively used for timber joist construction in house building and numerous decking applications.
500329,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,zinc
500329,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,M6 x 100 Cup Square Hex
500329,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
500329,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,DIN603
500330,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Used mainly for fastening timber to timber and is extensively used for timber joist construction in house building and numerous decking applications.
500330,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,zinc
500330,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,M6 x 75 Cup Square Hex
500330,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
500330,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,DIN603
500564,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Used mainly for fastening timber to timber and is extensively used for timber joist construction in house building and numerous decking applications.
500564,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,zinc
500564,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,M12 x 100 Cup Square Hex
500564,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
500564,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,DIN603
501228,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Suitable for chassis&#44 wheel bearings&#44 hubs&#44 universal joints and electric motor bearings.
501228,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Colour: Amber<br/>Texture: Smooth<br/>NLGI No.: 2 (Medium)<br/>Worked Penetration: 265 - 295<br/>Drop Point ?C : 185<br/>Sphere of use ?C : -10?C to+120?C
501228,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Good temperature tolerance - stable in hot conditions but still flows when cold.<br/>- Lithium-based grease with good temperature tolerance. Suitable for hubs&#44 universal joints&#44 chassis and general greasing.<br/>- Long life for use in well-sealed bearings.<br/>- Oxidation inhibited – Ensures long life in storage.<br/>- Good water resistance – Provides satisfactory lubrication in the presence of water and is not washed out of bearings.<br/>- Good corrosion protection – Rust inhibited to protect bearing surfaces.
501228,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
501230,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,The grease is for automotive and industrial ball and roller bearing applications.
501230,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,A high melting point&#44 smooth&#44 multi-purpose&#44 extreme pressure (EP) grease based upon lithium soap.
501230,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
507-10,HINTS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Hardened spring steel&#44 white.
507-10,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,An excess of 0.3-0.8mm relative to the nominal diameter guarantees a secure fixing and/or locking.
507-10,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
509118,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Variety of applications including DIY and carpentry
509118,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,stainless steel
509118,DIRECTIONS OF USE,ALL BRANCHES,25/08/2016 00:00:00,C,RE,screw that can tap its own hole as it is driven into the material
