Part,NCode,Branch,DateTime,Type,OP,Description
0108T470060,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,100
01604-02621,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Large Flange Aluminium Pop Rivets
01604-02621,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,500
01641-02621,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Large Flange Aluminium Pop Rivets
01641-02621,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,500
01641-02631,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Large Flange Aluminium Pop Rivets
01641-02631,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,500
01661-02414,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Low Profile Dome Head Aluminium Pop Rivets
01661-02414,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,500
01661-02613,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Low Profile Dome Head Aluminium Pop Rivets
01661-02613,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,500
01661-02621,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Low Profile Dome Head Aluminium Pop Rivets
01661-02621,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,500
01661-02631,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Low Profile Dome Head Aluminium Pop Rivets
01661-02631,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,500
01AS10010816,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Technical delivery conditions; General requirements
01AS10010816,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,s/col
01AS10010816,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,M8 x 16 Dome Screw
01AS10010816,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,200
01AS10010816,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,socket flange&#44 gr10.9
01AS10010820,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Technical delivery conditions; General requirements
01AS10010820,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Gr10.9&#44 self colour
01AS10010820,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,M8 x 20 Flange Dome
01AS10010820,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,200
01AS10010820,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,DIN267&#44 metric thread
01AS79911660,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,typical applications for 304 include holloware&#44 architecture&#44 food and beverage processing&#44 equipment and utensils&#44 commercial and domestic kitchen construction&#44 sinks&#44 and plant for chemical&#44 petrochemical&#44 mineral processing and other industries
01AS79911660,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Gr10.9&#44 self colour
01AS79911660,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,M16 x 60 Csk Screw
01AS79911660,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,25
01AS79911660,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,DIN7991&#44 metric thread
01ZP10010820,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Technical delivery conditions; General requirements
01ZP10010820,CHARACTERISTICS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,zinc/clear
01ZP10010820,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,M8 x 20 Dome Screw
01ZP10010820,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,200
01ZP10010820,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,socket flange&#44 gr10.9
0-210-94,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,6in all metal fan.<br/>24 volt.<br/>Two speed.<br/>Enclosed metal blades on a multi angle swivel bracket with on/off switch.<br/>CE approved.
0-210-94,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
02761-02821,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Steel CSK Monobolts
02761-02821,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,250
0-326-53,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,DIN 4 way socket connector<br/>Black nylon for use with 10NW tubing.
0-326-53,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-326-54,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,90° DIN 4 way socket connector.<br/>Black nylon for use with 10NW tubing.
0-326-54,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-329-03,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-329-04,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-329-06,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-329-09,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-329-12,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-329-19,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,1
0-330-07,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
0-330-10,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
0-331-07,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,50
