KeyCode,PG,Desc,Asno,Code6
B005633,HTMIS,16pc 3/8 or 1/2 Dr Oil Cap Filter Wrench Set,,
B005653,HTSKT,1/2 Dr 41pc I-Socket Set,,
B005654,HTSKT,8pc T-Handle TX Key Set,,
B005705,HTSKT,8pc T-Handle Metric Hex Key Set,,
B006402,HTSCR,3.5 x 75mm H/D Plain Slot Screwdriver With Striking Cap,,
B008357,DRMIS,15.0mm Reduced Shank Drill Bit,,
B008362,DRMIS,17.5mm Reduced Shank Drill Bit,,
B008363,DRMIS,18.0mm Reduced Shank Drill Bit,,
B008366,DRMIS,20.0mm Reduced Shank Drill Bit,,
B008602,DRHSS,12mm HSS Long Series Drill,,
B010156,HTBOX,Top Chest for Evolution Roller Cabinet,,
B011261,CHBRU,300mm Squeegee,,NEW
B011264,CHBRU,500mm Universal Holder with 3 clips,,NEW
B011265,CHBRU,3m Telescopic Handle without Water channel,,NEW
B011266,CHBRU,3m Telescopic Handle Waterfed,,NEW
B011268,CHBRU,250mm Vehicle Washing Brush Waterfed,,NEW
B011272,CHBRU,200mm Hand-held Washing Brush,,
B011274,CHBRU,480mm Wheel Rim Brush,,NEW
B011275,CHBRU,330mm Duo level Washing Brush,,NEW
B011282,CHBRU,280mm Washing Brush with Integrated Water Tank,,NEW
B011591,HTSCR,TX27 10mm Bit L30mm,,
B011902-10,LILBU,Bulb 24V 70W H1 Heavy Duty,,
B011908-10,LILBU,Bulb 24V 70W H3 Heavy Duty,,
B011910-10,LILBU,Bulb 12V 55W H1 P14.5s Heavy Duty,,
B011911-10,LILBU,Bulb 12V 55W H3 Heavy Duty,,
B012254-100,ELASS,6.3 x 0.8mm Blue Male Spade Terminals,,
B012270-100,ELASS,1.0 - 2.5mm Blue Butt Connectors,,
B012297-100,ELASS,0.5 - 1.0mm Red Butt Connectors,,
B012300-100,ELASS,6.3 x 0.8mm Blue Piggyback Terminals,,
B012327-100,ELASS,4mm Red Female Bullet Terminals,,
B012335-100,ELASS,5mm Blue Female Bullet Terminals,,
B012351-100,ELASS,4.8 x 0.5mm Blue Female Spade Terminals,,
B012378-100,ELASS,6.3 x 0.8 Blue Fully Insulated Spade Terminals,,
B012386-100,ELASS,4mm Red Male Bullet Terminals,,
B012394-100,ELASS,5mm Blue Male Bullet Terminals,,
B012416-100,ELASS,M6 Blue Ring Terminals,,
B012432-100,ELASS,M5 Blue Ring Rerminals,,
B012440-100,ELASS,M4 Blue Ring Rerminals,,
B012475-100,ELASS,M8 Yellow Ring Terminals,,
B012505-100,ELASS,M4 Red Ring Rerminals,,
B012610-100,ELASS,6.3 x 0.8mm Blue Female Spade Terminals,,
B012670-100,ELASS,2.8 x 0.5mm Red Male Spade Terminals,,
B012998,HTPLI,200mm Wire Stripper,,
B013021,HTPLI,220mm Crimping Plier (Non-insulated Terminals),,
B013030,HTPLI,220mm Crimping Plier (Insulated Terminals),,
B013153-100,ELASS,2.5mm Blue Quick Snap Lock Connector,,
B013307-25,ELELC,6.0D Wiring Grommet 6634 double,,
B013315-25,ELELC,9.0D Wiring Grommet 6634 double,,
B013323-25,ELELC,10.0D Wiring Grommet 6634 double,,
B013331-25,ELELC,12.0D Wiring Grommet 6634 double,,
B013340-25,ELELC,13.0D Wiring Grommet 6634 double,,
B013358-25,ELELC,16.0D Wiring Grommet 6634 double,,
